Detector Type,DescriptorType,Frame,Total Keypoints,Keypoints in ROI,Keypoints in ROI matched,Time for detection [ms],Time for description [ms],Combined Time [ms],
SHITOMASI,BRISK,0,1370,125,0,18.6528,1.59482,20.2476,
SHITOMASI,BRISK,1,1301,118,95,17.4365,2.32757,19.7641,
SHITOMASI,BRISK,2,1361,123,88,16.5643,2.43326,18.9976,
SHITOMASI,BRISK,3,1358,120,80,16.696,2.29717,18.9932,
SHITOMASI,BRISK,4,1333,120,90,16.8519,2.30064,19.1526,
SHITOMASI,BRISK,5,1284,113,82,17.2608,2.13111,19.3919,
SHITOMASI,BRISK,6,1322,114,79,15.4984,2.16782,17.6662,
SHITOMASI,BRISK,7,1366,123,85,16.1519,2.46934,18.6212,
SHITOMASI,BRISK,8,1389,111,86,16.6051,2.13238,18.7375,
SHITOMASI,BRISK,9,1339,112,82,16.1183,2.41282,18.5311,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,BRIEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,ORB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,FREAK,0,1370,125,0,16.5055,42.0692,58.5747,
SHITOMASI,FREAK,1,1301,118,86,14.5695,39.2629,53.8324,
SHITOMASI,FREAK,2,1361,123,90,11.1877,39.3856,50.5733,
SHITOMASI,FREAK,3,1358,120,86,11.5687,39.5274,51.0961,
SHITOMASI,FREAK,4,1333,120,88,11.4702,39.4956,50.9658,
SHITOMASI,FREAK,5,1284,113,86,11.1464,39.0109,50.1573,
SHITOMASI,FREAK,6,1322,114,80,11.1871,39.3193,50.5063,
SHITOMASI,FREAK,7,1366,123,81,11.0659,40.3079,51.3738,
SHITOMASI,FREAK,8,1389,111,86,11.1029,40.0121,51.115,
SHITOMASI,FREAK,9,1339,112,85,11.818,39.8245,51.6425,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,AKAZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SHITOMASI,SIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
HARRIS,BRISK,0,115,17,0,11.8395,0.549203,12.3887,
HARRIS,BRISK,1,98,14,12,12.0982,0.463202,12.5614,
HARRIS,BRISK,2,113,18,10,12.3898,0.578609,12.9685,
HARRIS,BRISK,3,121,21,14,12.0027,0.570535,12.5733,
HARRIS,BRISK,4,160,26,15,13.0452,0.562487,13.6077,
HARRIS,BRISK,5,383,43,16,27.2985,0.725169,28.0236,
HARRIS,BRISK,6,85,18,16,11.5774,0.592566,12.17,
HARRIS,BRISK,7,210,31,15,14.0164,0.652714,14.6691,
